Category: All categories

Week,Palantir: (Worldwide),Anduril: (Worldwide)
2021-05-16,8,2
2021-05-23,4,3
2021-05-30,10,2
2021-06-06,11,3
2021-06-13,3,4
2021-06-20,6,3
2021-06-27,10,3
2021-07-04,9,3
2021-07-11,10,3
2021-07-18,8,2
2021-07-25,13,3
2021-08-01,12,3
2021-08-08,10,5
2021-08-15,13,5
2021-08-22,10,3
2021-08-29,6,1
2021-09-05,9,0
2021-09-12,5,3
2021-09-19,9,2
2021-09-26,6,2
2021-10-03,5,0
2021-10-10,3,2
2021-10-17,8,2
2021-10-24,4,0
2021-10-31,3,0
2021-11-07,3,1
2021-11-14,5,1
2021-11-21,4,1
2021-11-28,5,1
2021-12-05,5,1
2021-12-12,10,2
2021-12-19,3,4
2021-12-26,3,0
2022-01-02,3,2
2022-01-09,7,3
2022-01-16,9,3
2022-01-23,6,2
2022-01-30,5,1
2022-02-06,6,3
2022-02-13,10,5
2022-02-20,18,1
2022-02-27,17,4
2022-03-06,13,2
2022-03-13,15,3
2022-03-20,15,1
2022-03-27,15,2
2022-04-03,16,4
2022-04-10,14,3
2022-04-17,15,4
2022-04-24,13,3
2022-05-01,13,2
2022-05-08,13,4
2022-05-15,7,2
2022-05-22,10,2
2022-05-29,9,1
2022-06-05,8,3
2022-06-12,9,2
2022-06-19,15,4
2022-06-26,8,2
2022-07-03,14,4
2022-07-10,6,3
2022-07-17,10,5
2022-07-24,12,4
2022-07-31,13,6
2022-08-07,13,4
2022-08-14,12,1
2022-08-21,9,3
2022-08-28,8,2
2022-09-04,11,3
2022-09-11,8,5
2022-09-18,4,4
2022-09-25,4,3
2022-10-02,4,2
2022-10-09,8,4
2022-10-16,7,2
2022-10-23,9,3
2022-10-30,6,4
2022-11-06,8,5
2022-11-13,9,4
2022-11-20,7,1
2022-11-27,10,4
2022-12-04,7,4
2022-12-11,9,4
2022-12-18,9,6
2022-12-25,7,1
2023-01-01,12,3
2023-01-08,10,5
2023-01-15,11,2
2023-01-22,13,6
2023-01-29,12,4
2023-02-05,13,5
2023-02-12,10,3
2023-02-19,9,5
2023-02-26,9,5
2023-03-05,4,4
2023-03-12,5,4
2023-03-19,4,5
2023-03-26,5,3
2023-04-02,8,4
2023-04-09,4,4
2023-04-16,6,5
2023-04-23,10,6
2023-04-30,6,3
2023-05-07,16,4
2023-05-14,11,6
2023-05-21,14,3
2023-05-28,12,3
2023-06-04,14,5
2023-06-11,18,6
2023-06-18,11,5
2023-06-25,17,6
2023-07-02,17,6
2023-07-09,15,6
2023-07-16,13,5
2023-07-23,17,8
2023-07-30,16,4
2023-08-06,19,2
2023-08-13,18,7
2023-08-20,23,4
2023-08-27,18,5
2023-09-03,16,8
2023-09-10,20,4
2023-09-17,20,5
2023-09-24,24,4
2023-10-01,23,5
2023-10-08,22,7
2023-10-15,25,7
2023-10-22,18,7
2023-10-29,20,5
2023-11-05,19,4
2023-11-12,21,7
2023-11-19,19,7
2023-11-26,25,8
2023-12-03,23,8
2023-12-10,19,8
2023-12-17,21,9
2023-12-24,25,8
2023-12-31,27,9
2024-01-07,30,7
2024-01-14,33,8
2024-01-21,27,8
2024-01-28,23,9
2024-02-04,28,8
2024-02-11,36,9
2024-02-18,33,8
2024-02-25,35,9
2024-03-03,36,10
2024-03-10,38,6
2024-03-17,42,7
2024-03-24,40,7
2024-03-31,40,6
2024-04-07,38,8
2024-04-14,37,10
2024-04-21,41,9
2024-04-28,43,10
2024-05-05,49,11
2024-05-12,46,12
2024-05-19,49,10
2024-05-26,45,12
2024-06-02,44,10
2024-06-09,46,9
2024-06-16,47,10
2024-06-23,56,9
2024-06-30,48,9
2024-07-07,54,10
2024-07-14,50,12
2024-07-21,56,13
2024-07-28,55,9
2024-08-04,54,15
2024-08-11,55,13
2024-08-18,54,15
2024-08-25,58,14
2024-09-01,56,12
2024-09-08,55,16
2024-09-15,56,14
2024-09-22,61,14
2024-09-29,65,13
2024-10-06,62,14
2024-10-13,62,15
2024-10-20,64,15
2024-10-27,68,15
2024-11-03,65,16
2024-11-10,64,17
2024-11-17,70,15
2024-11-24,68,13
2024-12-01,100,17
2024-12-08,96,15
2024-12-15,91,17
2024-12-22,88,16
2024-12-29,94,16
2025-01-05,92,16
2025-01-12,83,19
2025-01-19,79,19
2025-01-26,82,16
2025-02-02,72,16
2025-02-09,71,18
2025-02-16,75,15
2025-02-23,72,17
2025-03-02,74,17
2025-03-09,76,17
2025-03-16,80,16
2025-03-23,85,15
2025-03-30,85,14
2025-04-06,89,16
2025-04-13,85,16
2025-04-20,93,17
2025-04-27,92,20
2025-05-04,92,19
2025-05-11,93,16
2025-05-18,94,18
2025-05-25,96,17
2025-06-01,87,17
2025-06-08,88,18
2025-06-15,84,19
2025-06-22,81,17
2025-06-29,82,19
2025-07-06,78,17
2025-07-13,78,18
2025-07-20,73,22
2025-07-27,71,19
2025-08-03,96,20
2025-08-10,97,19
2025-08-17,95,19
2025-08-24,88,19
2025-08-31,89,19
2025-09-07,86,18
2025-09-14,89,19
2025-09-21,85,18
2025-09-28,76,20
2025-10-05,77,21
2025-10-12,74,20
2025-10-19,78,19
2025-10-26,83,20
2025-11-02,88,19
2025-11-09,85,21
2025-11-16,88,17
2025-11-23,86,19
2025-11-30,93,17
2025-12-07,91,18
2025-12-14,92,22
2025-12-21,89,21
2025-12-28,88,19
2026-01-04,80,18
2026-01-11,78,16
2026-01-18,85,20
2026-01-25,73,24
2026-02-01,72,21
2026-02-08,80,20
2026-02-15,83,21
2026-02-22,73,19
2026-03-01,78,21
2026-03-08,83,21
2026-03-15,90,21
2026-03-22,85,22
2026-03-29,89,22
2026-04-05,93,22
2026-04-12,92,21
2026-04-19,89,23
2026-04-26,88,24
2026-05-03,82,20
2026-05-10,82,21
