Date,Close
2021-05-17,23.6
2021-05-18,22.03
2021-05-19,23.4
2021-05-20,21.71
2021-05-21,23.37
2021-05-24,22.22
2021-05-25,22.16
2021-05-26,23.47
2021-05-27,21.68
2021-05-28,20.81
2021-05-31,21.13
2021-06-01,22.08
2021-06-02,20.14
2021-06-03,22.08
2021-06-04,21.16
2021-06-07,22.69
2021-06-08,19.29
2021-06-09,20.4
2021-06-10,19.63
2021-06-11,20.38
2021-06-14,21.53
2021-06-15,21.25
2021-06-16,21.12
2021-06-17,21.18
2021-06-18,21.54
2021-06-21,20.31
2021-06-22,21.86
2021-06-23,22.03
2021-06-24,21.75
2021-06-25,21.87
2021-06-28,21.57
2021-06-29,23.28
2021-06-30,21.36
2021-07-01,20.83
2021-07-02,20.27
2021-07-05,19.86
2021-07-06,19.56
2021-07-07,19.86
2021-07-08,20.72
2021-07-09,21.25
2021-07-12,20.99
2021-07-13,20.1
2021-07-14,21.65
2021-07-15,21.7
2021-07-16,20.77
2021-07-19,20.08
2021-07-20,21.18
2021-07-21,20.96
2021-07-22,19.25
2021-07-23,20.38
2021-07-26,20.83
2021-07-27,19.7
2021-07-28,20.62
2021-07-29,19.07
2021-07-30,21.67
2021-08-02,21.91
2021-08-03,20.4
2021-08-04,20.79
2021-08-05,18.0
2021-08-06,18.84
2021-08-09,19.8
2021-08-10,19.13
2021-08-11,20.84
2021-08-12,22.38
2021-08-13,19.36
2021-08-16,19.2
2021-08-17,20.26
2021-08-18,21.8
2021-08-19,19.13
2021-08-20,20.21
2021-08-23,21.92
2021-08-24,18.62
2021-08-25,18.49
2021-08-26,19.32
2021-08-27,19.33
2021-08-30,20.64
2021-08-31,20.24
2021-09-01,18.11
2021-09-02,20.11
2021-09-03,19.27
2021-09-06,20.99
2021-09-07,19.29
2021-09-08,19.01
2021-09-09,20.15
2021-09-10,20.53
2021-09-13,20.21
2021-09-14,17.97
2021-09-15,19.89
2021-09-16,18.55
2021-09-17,19.63
2021-09-20,18.05
2021-09-21,19.7
2021-09-22,18.66
2021-09-23,18.0
2021-09-24,19.92
2021-09-27,19.67
2021-09-28,18.75
2021-09-29,20.7
2021-09-30,19.04
2021-10-01,19.26
2021-10-04,19.48
2021-10-05,18.59
2021-10-06,19.56
2021-10-07,18.66
2021-10-08,18.63
2021-10-11,20.39
2021-10-12,18.18
2021-10-13,16.43
2021-10-14,20.26
2021-10-15,21.77
2021-10-18,18.93
2021-10-19,16.93
2021-10-20,18.27
2021-10-21,18.48
2021-10-22,18.59
2021-10-25,17.62
2021-10-26,19.18
2021-10-27,19.34
2021-10-28,17.29
2021-10-29,19.2
2021-11-01,20.82
2021-11-02,19.13
2021-11-03,18.33
2021-11-04,18.4
2021-11-05,19.16
2021-11-08,16.83
2021-11-09,18.4
2021-11-10,18.05
2021-11-11,20.27
2021-11-12,18.52
2021-11-15,20.09
2021-11-16,17.48
2021-11-17,18.79
2021-11-18,18.7
2021-11-19,17.46
2021-11-22,18.29
2021-11-23,19.45
2021-11-24,18.04
2021-11-25,16.42
2021-11-26,17.86
2021-11-29,17.13
2021-11-30,17.57
2021-12-01,17.89
2021-12-02,16.26
2021-12-03,16.09
2021-12-06,18.15
2021-12-07,17.42
2021-12-08,15.21
2021-12-09,18.28
2021-12-10,18.2
2021-12-13,17.13
2021-12-14,16.34
2021-12-15,18.4
2021-12-16,18.2
2021-12-17,20.22
2021-12-20,18.47
2021-12-21,18.16
2021-12-22,17.53
2021-12-23,18.42
2021-12-24,18.34
2021-12-27,18.92
2021-12-28,17.18
2021-12-29,16.99
2021-12-30,16.9
2021-12-31,18.17
2022-01-03,16.13
2022-01-04,13.81
2022-01-05,13.49
2022-01-06,14.18
2022-01-07,13.7
2022-01-10,14.81
2022-01-11,11.7
2022-01-12,12.67
2022-01-13,12.85
2022-01-14,11.29
2022-01-17,12.41
2022-01-18,12.61
2022-01-19,13.36
2022-01-20,14.8
2022-01-21,13.61
2022-01-24,12.6
2022-01-25,13.43
2022-01-26,14.67
2022-01-27,12.77
2022-01-28,12.54
2022-01-31,13.97
2022-02-01,13.37
2022-02-02,14.16
2022-02-03,13.59
2022-02-04,14.22
2022-02-07,12.51
2022-02-08,13.28
2022-02-09,13.18
2022-02-10,12.13
2022-02-11,11.6
2022-02-14,13.78
2022-02-15,13.04
2022-02-16,12.23
2022-02-17,13.04
2022-02-18,14.39
2022-02-21,11.08
2022-02-22,11.37
2022-02-23,11.99
2022-02-24,14.5
2022-02-25,13.66
2022-02-28,13.99
2022-03-01,12.08
2022-03-02,11.81
2022-03-03,13.35
2022-03-04,13.17
2022-03-07,13.61
2022-03-08,12.91
2022-03-09,13.27
2022-03-10,13.18
2022-03-11,13.79
2022-03-14,13.87
2022-03-15,11.4
2022-03-16,10.37
2022-03-17,13.52
2022-03-18,14.17
2022-03-21,11.98
2022-03-22,10.78
2022-03-23,12.59
2022-03-24,13.69
2022-03-25,14.73
2022-03-28,13.54
2022-03-29,12.44
2022-03-30,11.73
2022-03-31,12.54
2022-04-01,12.33
2022-04-04,11.53
2022-04-05,14.52
2022-04-06,14.69
2022-04-07,14.04
2022-04-08,11.83
2022-04-11,13.27
2022-04-12,13.26
2022-04-13,13.04
2022-04-14,13.82
2022-04-15,13.29
2022-04-18,13.28
2022-04-19,13.17
2022-04-20,12.83
2022-04-21,10.6
2022-04-22,12.16
2022-04-25,11.7
2022-04-26,10.88
2022-04-27,13.77
2022-04-28,14.24
2022-04-29,13.92
2022-05-02,12.71
2022-05-03,13.63
2022-05-04,12.39
2022-05-05,12.38
2022-05-06,11.05
2022-05-09,12.33
2022-05-10,12.17
2022-05-11,10.74
2022-05-12,11.79
2022-05-13,11.9
2022-05-16,13.8
2022-05-17,13.15
2022-05-18,12.14
2022-05-19,12.21
2022-05-20,12.01
2022-05-23,11.68
2022-05-24,10.73
2022-05-25,11.52
2022-05-26,11.02
2022-05-27,10.42
2022-05-30,12.08
2022-05-31,12.2
2022-06-01,9.98
2022-06-02,11.33
2022-06-03,12.66
2022-06-06,12.89
2022-06-07,12.88
2022-06-08,11.86
2022-06-09,10.79
2022-06-10,10.37
2022-06-13,11.73
2022-06-14,11.96
2022-06-15,12.9
2022-06-16,12.84
2022-06-17,11.56
2022-06-20,10.2
2022-06-21,10.92
2022-06-22,11.57
2022-06-23,11.22
2022-06-24,10.78
2022-06-27,11.52
2022-06-28,10.84
2022-06-29,10.6
2022-06-30,11.51
2022-07-01,10.91
2022-07-04,11.44
2022-07-05,11.54
2022-07-06,10.1
2022-07-07,10.54
2022-07-08,12.55
2022-07-11,10.16
2022-07-12,8.82
2022-07-13,8.86
2022-07-14,10.79
2022-07-15,11.06
2022-07-18,10.92
2022-07-19,12.24
2022-07-20,8.46
2022-07-21,11.01
2022-07-22,12.57
2022-07-25,10.02
2022-07-26,10.39
2022-07-27,10.05
2022-07-28,9.84
2022-07-29,10.38
2022-08-01,12.21
2022-08-02,12.89
2022-08-03,10.76
2022-08-04,12.72
2022-08-05,11.09
2022-08-08,12.56
2022-08-09,10.88
2022-08-10,10.85
2022-08-11,11.07
2022-08-12,13.96
2022-08-15,11.98
2022-08-16,10.08
2022-08-17,11.49
2022-08-18,10.34
2022-08-19,10.02
2022-08-22,11.36
2022-08-23,10.65
2022-08-24,10.79
2022-08-25,10.52
2022-08-26,10.8
2022-08-29,10.89
2022-08-30,8.49
2022-08-31,10.77
2022-09-01,9.42
2022-09-02,8.73
2022-09-05,10.0
2022-09-06,10.32
2022-09-07,9.57
2022-09-08,11.0
2022-09-09,8.98
2022-09-12,9.59
2022-09-13,9.49
2022-09-14,10.01
2022-09-15,10.41
2022-09-16,9.14
2022-09-19,10.68
2022-09-20,10.23
2022-09-21,8.15
2022-09-22,7.76
2022-09-23,9.67
2022-09-26,9.71
2022-09-27,9.82
2022-09-28,9.9
2022-09-29,10.16
2022-09-30,10.92
2022-10-03,8.9
2022-10-04,8.52
2022-10-05,8.53
2022-10-06,9.93
2022-10-07,11.1
2022-10-10,9.53
2022-10-11,7.17
2022-10-12,7.62
2022-10-13,8.56
2022-10-14,8.97
2022-10-17,9.14
2022-10-18,9.61
2022-10-19,9.31
2022-10-20,10.64
2022-10-21,9.07
2022-10-24,8.61
2022-10-25,9.89
2022-10-26,8.02
2022-10-27,9.69
2022-10-28,9.63
2022-10-31,9.33
2022-11-01,11.04
2022-11-02,9.03
2022-11-03,11.45
2022-11-04,9.47
2022-11-07,8.07
2022-11-08,9.22
2022-11-09,8.21
2022-11-10,8.37
2022-11-11,9.56
2022-11-14,9.86
2022-11-15,8.69
2022-11-16,10.14
2022-11-17,10.52
2022-11-18,10.85
2022-11-21,9.94
2022-11-22,10.64
2022-11-23,7.42
2022-11-24,8.52
2022-11-25,8.11
2022-11-28,9.02
2022-11-29,8.44
2022-11-30,8.75
2022-12-01,10.87
2022-12-02,9.09
2022-12-05,9.38
2022-12-06,8.75
2022-12-07,8.95
2022-12-08,8.9
2022-12-09,9.33
2022-12-12,10.09
2022-12-13,10.68
2022-12-14,9.39
2022-12-15,9.47
2022-12-16,7.7
2022-12-19,8.48
2022-12-20,9.63
2022-12-21,9.71
2022-12-22,9.05
2022-12-23,9.62
2022-12-26,9.27
2022-12-27,9.92
2022-12-28,9.08
2022-12-29,8.28
2022-12-30,8.86
2023-01-02,5.0
2023-01-03,7.03
2023-01-04,5.0
2023-01-05,5.0
2023-01-06,7.23
2023-01-09,7.69
2023-01-10,6.11
2023-01-11,6.35
2023-01-12,8.53
2023-01-13,6.99
2023-01-16,9.61
2023-01-17,7.73
2023-01-18,7.89
2023-01-19,9.16
2023-01-20,7.86
2023-01-23,6.57
2023-01-24,7.31
2023-01-25,7.52
2023-01-26,6.22
2023-01-27,7.17
2023-01-30,6.89
2023-01-31,8.56
2023-02-01,7.93
2023-02-02,7.53
2023-02-03,7.67
2023-02-06,8.09
2023-02-07,8.58
2023-02-08,7.02
2023-02-09,6.77
2023-02-10,8.94
2023-02-13,7.78
2023-02-14,6.61
2023-02-15,8.35
2023-02-16,8.65
2023-02-17,6.69
2023-02-20,8.25
2023-02-21,9.02
2023-02-22,8.79
2023-02-23,9.04
2023-02-24,7.02
2023-02-27,8.55
2023-02-28,8.16
2023-03-01,7.93
2023-03-02,9.3
2023-03-03,10.15
2023-03-06,10.66
2023-03-07,10.27
2023-03-08,8.78
2023-03-09,9.05
2023-03-10,9.53
2023-03-13,9.01
2023-03-14,8.97
2023-03-15,9.69
2023-03-16,8.91
2023-03-17,8.14
2023-03-20,8.41
2023-03-21,9.54
2023-03-22,9.08
2023-03-23,9.38
2023-03-24,9.78
2023-03-27,8.84
2023-03-28,9.88
2023-03-29,9.67
2023-03-30,8.01
2023-03-31,10.51
2023-04-03,8.97
2023-04-04,7.58
2023-04-05,8.02
2023-04-06,8.13
2023-04-07,9.26
2023-04-10,9.16
2023-04-11,9.11
2023-04-12,10.09
2023-04-13,9.98
2023-04-14,9.96
2023-04-17,10.11
2023-04-18,10.37
2023-04-19,7.65
2023-04-20,9.04
2023-04-21,7.42
2023-04-24,9.5
2023-04-25,9.79
2023-04-26,10.93
2023-04-27,11.27
2023-04-28,10.33
2023-05-01,9.54
2023-05-02,10.45
2023-05-03,9.57
2023-05-04,10.0
2023-05-05,11.09
2023-05-08,9.74
2023-05-09,10.95
2023-05-10,11.03
2023-05-11,9.39
2023-05-12,11.14
2023-05-15,11.18
2023-05-16,10.6
2023-05-17,9.65
2023-05-18,9.43
2023-05-19,9.75
2023-05-22,10.96
2023-05-23,9.64
2023-05-24,10.88
2023-05-25,9.38
2023-05-26,10.23
2023-05-29,10.74
2023-05-30,13.22
2023-05-31,9.72
2023-06-01,12.12
2023-06-02,11.15
2023-06-05,11.34
2023-06-06,11.09
2023-06-07,11.4
2023-06-08,10.86
2023-06-09,12.44
2023-06-12,10.79
2023-06-13,12.19
2023-06-14,10.61
2023-06-15,10.99
2023-06-16,10.03
2023-06-19,11.51
2023-06-20,12.76
2023-06-21,11.42
2023-06-22,11.12
2023-06-23,10.16
2023-06-26,10.98
2023-06-27,9.73
2023-06-28,10.26
2023-06-29,11.52
2023-06-30,12.85
2023-07-03,14.63
2023-07-04,11.46
2023-07-05,13.06
2023-07-06,12.11
2023-07-07,11.59
2023-07-10,12.17
2023-07-11,11.9
2023-07-12,11.93
2023-07-13,11.42
2023-07-14,10.36
2023-07-17,10.12
2023-07-18,12.34
2023-07-19,11.75
2023-07-20,11.35
2023-07-21,11.93
2023-07-24,12.89
2023-07-25,12.42
2023-07-26,11.52
2023-07-27,13.33
2023-07-28,13.98
2023-07-31,13.04
